rows, columns, time to find success result, number of failures
8,8,0.2722442150115967,2733
8,8,0.23099064826965332,2282
8,8,0.8991451263427734,8915
8,8,0.12412452697753906,1355
8,8,0.5129504203796387,5297
8,8,0.9413836002349854,8125
8,8,0.5338704586029053,4634
8,8,0.47972607612609863,4249
8,8,0.0801539421081543,547
8,8,0.43312954902648926,3858
8,8,0.02321028709411621,158
8,8,0.4173877239227295,3356
8,8,0.7559874057769775,7284
8,8,0.05102992057800293,529
8,8,0.041471242904663086,442
8,8,0.019505739212036133,197
8,8,1.4876492023468018,14937
8,8,0.15369510650634766,1595
8,8,0.44179821014404297,4499
8,8,0.46840691566467285,4706
8,8,0.7444515228271484,7102
8,8,0.041654348373413086,422
8,8,0.5251944065093994,5083
8,8,0.005345344543457031,41
8,8,0.44342589378356934,4480
8,8,0.7336540222167969,7749
8,8,0.032178640365600586,333
8,8,1.4926607608795166,15160
8,8,0.3452792167663574,3466
8,8,0.7032859325408936,7201
8,8,0.410799503326416,4169
8,8,0.059166908264160156,618
8,8,0.821558952331543,7844
8,8,0.017249345779418945,162
8,8,0.7928392887115479,8005
8,8,0.39321374893188477,3981
8,8,0.08712911605834961,882
8,8,2.871469497680664,29275
8,8,0.15659379959106445,1492
8,8,0.49512553215026855,5159
8,8,0.5466461181640625,5500
8,8,0.45193934440612793,4669
8,8,0.10561871528625488,1153
8,8,0.4684567451477051,4737
8,8,0.9179949760437012,9510
8,8,0.16262102127075195,1673
8,8,1.2138707637786865,12201
8,8,0.4966151714324951,4962
8,8,0.7151656150817871,7378
8,8,0.33423876762390137,3370
8,8,1.2086422443389893,12484
8,8,0.5160994529724121,5185
8,8,0.0032401084899902344,10
8,8,1.2638623714447021,13475
8,8,0.4184250831604004,4265
8,8,0.547626256942749,5791
8,8,0.46519970893859863,4884
8,8,0.13886404037475586,1351
8,8,0.10819554328918457,1110
8,8,0.12008976936340332,1304
8,8,0.02227616310119629,232
8,8,0.19687676429748535,2106
8,8,0.20453190803527832,2052
8,8,0.07286190986633301,790
8,8,0.5826866626739502,6127
9,9,37.39551091194153,332453
9,9,0.551738977432251,4995
9,9,38.22823882102966,342590
9,9,1.6360042095184326,14873
9,9,0.6564843654632568,5980
9,9,10.106061220169067,88178
9,9,12.408724069595337,110246
9,9,7.698629856109619,70434
9,9,10.65027928352356,97988
9,9,3.7529027462005615,33587
9,9,30.67866325378418,273352
9,9,2.718646764755249,22724
9,9,1.051551342010498,9720
9,9,7.848073959350586,69616
9,9,7.376261472702026,66062
9,9,0.7628152370452881,6620
9,9,14.336347818374634,128969
9,9,10.978756666183472,99829
9,9,30.03646993637085,267963
9,9,8.174165725708008,74153
9,9,2.4225246906280518,22505
9,9,9.542102575302124,85713
9,9,9.044708490371704,82412
9,9,5.49760103225708,49852
9,9,4.673417568206787,41194
9,9,48.021992683410645,417386
9,9,4.468284606933594,41622
9,9,11.320430994033813,102411
9,9,17.20465898513794,152824
9,9,3.4964747428894043,31848
9,9,8.145456314086914,75856
9,9,8.735058069229126,78329
9,9,11.063596487045288,100922
9,9,6.74003005027771,60431
9,9,8.406995296478271,70141
9,9,19.874152898788452,180198
9,9,3.531435251235962,33181
9,9,19.711732149124146,179369
9,9,14.201510906219482,127035
9,9,25.9144127368927,230855
9,9,12.493699789047241,114135
9,9,22.628278732299805,202377
9,9,17.70108652114868,149797
9,9,5.284052848815918,47370
9,9,1.2706270217895508,11245
9,9,6.666072845458984,56882
9,9,6.14905571937561,55558
9,9,10.637911558151245,94541
9,9,10.283934116363525,89806
9,9,8.737061738967896,69886
9,9,8.700062990188599,72993
9,9,75.28236532211304,635188
9,9,34.496357917785645,281889
9,9,43.39366698265076,373014
9,9,24.425572395324707,208512
9,9,46.46919298171997,395733
9,9,17.305166244506836,135327
9,9,33.91854667663574,301856
9,9,1.8117351531982422,16757
9,9,32.493167877197266,281060
9,9,10.851299047470093,66087
9,9,15.841885328292847,142496
9,9,6.976184129714966,59813
9,9,9.342439413070679,79842
9,9,19.516353130340576,173538
9,9,6.175660848617554,54362
